Particle_0107 = Au NP on 1ML Pd mirror, Particle_27, kinetic_SERS_2, 200, True
Particle_0108 = Au NP on 1ML Pd mirror, Particle_27, kinetic_SERS_3, 200, True
Particle_0109 = Au NP on 1ML Pd mirror, Particle_27, kinetic_SERS_4, 200, True
Particle_0110 = Au NP on 1ML Pd mirror, Particle_27, kinetic_SERS_5, 200, True
Particle_0111 = Au NP on 1ML Pd mirror, Particle_27, kinetic_SERS_6, 200, True
Particle_0112 = Au NP on 1ML Pd mirror, Particle_29, kinetic_SERS, 200, True
Particle_0113 = Au NP on 1ML Pd mirror, Particle_29, kinetic_SERS_0, 200, True
Particle_0114 = Au NP on 1ML Pd mirror, Particle_29, kinetic_SERS_1, 200, True
Particle_0115 = Au NP on 1ML Pd mirror, Particle_29, kinetic_SERS_2, 200, True
Particle_0116 = Au NP on 1ML Pd mirror, Particle_29, kinetic_SERS_3, 200, True
Particle_0117 = Au NP on 1ML Pd mirror, Particle_29, kinetic_SERS_4, 200, True
Particle_0118 = Au NP on 1ML Pd mirror, Particle_29, kinetic_SERS_5, 200, True
Particle_0119 = Au NP on 1ML Pd mirror, Particle_29, kinetic_SERS_6, 200, True
Particle_0120 = Au NP on 1ML Pd mirror, Particle_29, kinetic_SERS_7, 200, True
Particle_0121 = Au NP on 1ML Pd mirror, Particle_3, kinetic_SERS, 200, True
Particle_0122 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS, 200, True
Particle_0123 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS_0, 200, True
Particle_0124 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS_1, 200, True
Particle_0125 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS_2, 200, True
Particle_0126 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS_3, 200, True
Particle_0127 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS_4, 200, True
Particle_0128 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS_5, 200, True
Particle_0129 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS_6, 200, True
Particle_0130 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS_7, 200, True
Particle_0131 = Au NP on 1ML Pd mirror, Particle_31, kinetic_SERS_8, 200, True
Particle_0132 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS, 200, True
Particle_0133 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS_0, 200, True
Particle_0134 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS_1, 200, True
Particle_0135 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS_2, 200, True
Particle_0136 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS_3, 200, True
Particle_0137 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS_4, 200, True
Particle_0138 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS_5, 200, True
Particle_0139 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS_6, 200, True
Particle_0140 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS_7, 200, True
Particle_0141 = Au NP on 1ML Pd mirror, Particle_33, kinetic_SERS_8, 200, True
Particle_0142 = Au NP on 1ML Pd mirror, Particle_35, kinetic_SERS, 200, True
Particle_0143 = Au NP on 1ML Pd mirror, Particle_35, kinetic_SERS_0, 200, True
Particle_0144 = Au NP on 1ML Pd mirror, Particle_35, kinetic_SERS_1, 200, True
Particle_0145 = Au NP on 1ML Pd mirror, Particle_38, kinetic_SERS, 200, True
Particle_0146 = Au NP on 1ML Pd mirror, Particle_38, kinetic_SERS_0, 200, True
Particle_0147 = Au NP on 1ML Pd mirror, Particle_38, kinetic_SERS_1, 200, True
Particle_0148 = Au NP on 1ML Pd mirror, Particle_38, kinetic_SERS_2, 200, True
Particle_0149 = Au NP on 1ML Pd mirror, Particle_38, kinetic_SERS_3, 200, True
Particle_0150 = Au NP on 1ML Pd mirror, Particle_38, kinetic_SERS_4, 200, True
Particle_0151 = Au NP on 1ML Pd mirror, Particle_38, kinetic_SERS_5, 200, True
Particle_0152 = Au NP on 1ML Pd mirror, Particle_38, kinetic_SERS_6, 200, True
Particle_0153 = Au NP on 1ML Pd mirror, Particle_4, kinetic_SERS, 200, True
Particle_0154 = Au NP on 1ML Pd mirror, Particle_40, kinetic_SERS, 200, True
Particle_0155 = Au NP on 1ML Pd mirror, Particle_40, kinetic_SERS_0, 200, True
Particle_0156 = Au NP on 1ML Pd mirror, Particle_40, kinetic_SERS_1, 200, True
Particle_0157 = Au NP on 1ML Pd mirror, Particle_40, kinetic_SERS_2, 200, True
Particle_0158 = Au NP on 1ML Pd mirror, Particle_40, kinetic_SERS_3, 200, True
Particle_0159 = Au NP on 1ML Pd mirror, Particle_43, kinetic_SERS, 200, True
Particle_0160 = Au NP on 1ML Pd mirror, Particle_43, kinetic_SERS_0, 200, True
Particle_0161 = Au NP on 1ML Pd mirror, Particle_43, kinetic_SERS_1, 200, True
Particle_0162 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS, 200, True
Particle_0163 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS_0, 200, True
Particle_0164 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS_1, 200, True
Particle_0165 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS_2, 200, True
Particle_0166 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS_3, 200, True
Particle_0167 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS_4, 200, True
Particle_0168 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS_5, 200, True
Particle_0169 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS_6, 200, True
Particle_0170 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS_7, 200, True
Particle_0171 = Au NP on 1ML Pd mirror, Particle_44, kinetic_SERS_8, 200, True
Particle_0172 = Au NP on 1ML Pd mirror, Particle_45, kinetic_SERS, 200, True
Particle_0173 = Au NP on 1ML Pd mirror, Particle_47, kinetic_SERS, 200, True
Particle_0174 = Au NP on 1ML Pd mirror, Particle_48, kinetic_SERS, 200, True
Particle_0175 = Au NP on 1ML Pd mirror, Particle_48, kinetic_SERS_0, 200, True
Particle_0176 = Au NP on 1ML Pd mirror, Particle_48, kinetic_SERS_1, 200, True
Particle_0177 = Au NP on 1ML Pd mirror, Particle_48, kinetic_SERS_2, 200, True
Particle_0178 = Au NP on 1ML Pd mirror, Particle_48, kinetic_SERS_3, 200, True
Particle_0179 = Au NP on 1ML Pd mirror, Particle_49, kinetic_SERS, 200, True
Particle_0180 = Au NP on 1ML Pd mirror, Particle_49, kinetic_SERS_0, 200, True
Particle_0181 = Au NP on 1ML Pd mirror, Particle_49, kinetic_SERS_1, 200, True
